File Name,# of MPRs,# of medians by first method,# of medians by second method
./TreeLifeData/COG0408.newick,2880,8,2
./TreeLifeData/COG0409.newick,9792,16,4
./TreeLifeData/COG0410.newick,22147104045237534720,65536,64
./TreeLifeData/COG0411.newick,25109232353280,131072,2048
./TreeLifeData/COG0412.newick,4,4,2
./TreeLifeData/COG0413.newick,746403840,32,8
./TreeLifeData/COG0414.newick,42662400,16,8
./TreeLifeData/COG0415.newick,295254097920,256,64
./TreeLifeData/COG0416.newick,48960,64,32
./TreeLifeData/COG0417.newick,107520,4,8
./TreeLifeData/COG0418.newick,128,2,2
./TreeLifeData/COG0420.newick,335532441600,192,32
./TreeLifeData/COG0421.newick,78336,512,64
./TreeLifeData/COG0422.newick,1739911680,16,1
./TreeLifeData/COG0423.newick,31968,64,8
./TreeLifeData/COG0424.newick,127598592,2048,256
./TreeLifeData/COG0425.newick,553999564800,128,32
./TreeLifeData/COG0426.newick,4347072,8,2
./TreeLifeData/COG0427.newick,4718592,2048,64
./TreeLifeData/COG0428.newick,566231040,4096,1024
./TreeLifeData/COG0429.newick,39936,4,8
./TreeLifeData/COG0430.newick,64512,32,4
./TreeLifeData/COG0431.newick,60216167301120,512,64
./TreeLifeData/COG0432.newick,1872101376,8192,384
./TreeLifeData/COG0433.newick,1835008,256,128
./TreeLifeData/COG0434.newick,288,32,8
./TreeLifeData/COG0435.newick,63744,64,8
./TreeLifeData/COG0436.newick,10467258268297636235357334798336000,68719476736,301989888
./TreeLifeData/COG0437.newick,12,2,2
./TreeLifeData/COG0438.newick,4,4,2
./TreeLifeData/COG0439.newick,16,4,2
./TreeLifeData/COG0440.newick,1179648,256,128
./TreeLifeData/COG0441.newick,2903040,32,8
./TreeLifeData/COG0442.newick,138240,96,4
./TreeLifeData/COG0443.newick,30786270757839175680,4096,1024
./TreeLifeData/COG0444.newick,1426010406912000,16384,4096
./TreeLifeData/COG0445.newick,6888,2,2
./TreeLifeData/COG0446.newick,128,4,4
./TreeLifeData/COG0447.newick,6624,8,4
./TreeLifeData/COG0448.newick,1209600,128,32
./TreeLifeData/COG0449.newick,214797312,512,64
./TreeLifeData/COG0450.newick,136331525357568000,65536,4096
./TreeLifeData/COG0451.newick,2,2,2
./TreeLifeData/COG0452.newick,16128,8,8
./TreeLifeData/COG0454.newick,16,4,2
./TreeLifeData/COG0455.newick,2208384,32,24
./TreeLifeData/COG0456.newick,529420542038507520,16384,256
./TreeLifeData/COG0458.newick,8850981888,128,32
./TreeLifeData/COG0459.newick,3,1,1
./TreeLifeData/COG0460.newick,3659268096,256,16
./TreeLifeData/COG0461.newick,13516800,512,128
./TreeLifeData/COG0462.newick,10610196480,256,64
./TreeLifeData/COG0463.newick,16,16,2
./TreeLifeData/COG0464.newick,6,4,2
./TreeLifeData/COG0465.newick,1196206080,64,32
./TreeLifeData/COG0466.newick,5293056,32,32
./TreeLifeData/COG0467.newick,726319872,2,2
./TreeLifeData/COG0468.newick,87422976,256,8
./TreeLifeData/COG0469.newick,1194590208,1024,512
./TreeLifeData/COG0470.newick,46227456,256,32
./TreeLifeData/COG0471.newick,42674946048,16384,128
./TreeLifeData/COG0472.newick,14302465228800,1024,16
./TreeLifeData/COG0473.newick,5818674058362880,128,64
./TreeLifeData/COG0474.newick,74912441932437258240,1048576,65536
./TreeLifeData/COG0475.newick,21163589348339220480,1048576,4096
./TreeLifeData/COG0476.newick,12,8,4
./TreeLifeData/COG0477.newick,2,2,2
./TreeLifeData/COG0478.newick,138,4,2
./TreeLifeData/COG0479.newick,1990656,8192,2048
./TreeLifeData/COG0480.newick,28211989708800,256,32
./TreeLifeData/COG0481.newick,3328,16,8
./TreeLifeData/COG0482.newick,20800,64,32
./TreeLifeData/COG0483.newick,4324368384,128,32
./TreeLifeData/COG0484.newick,1,1,1
./TreeLifeData/COG0486.newick,1344,16,16
./TreeLifeData/COG0488.newick,8985085962851478814064640,65536,1024
./TreeLifeData/COG0489.newick,611487055872,32,8
./TreeLifeData/COG0490.newick,12,8,2
./TreeLifeData/COG0491.newick,192,32,2
./TreeLifeData/COG0492.newick,64,16,8
./TreeLifeData/COG0493.newick,3694678507520,8192,2048
./TreeLifeData/COG0494.newick,64,8,4
./TreeLifeData/COG0495.newick,2720169984,1024,128
./TreeLifeData/COG0496.newick,32465664,32,64
./TreeLifeData/COG0497.newick,1344,32,32
./TreeLifeData/COG0498.newick,2665102196736,128,4
./TreeLifeData/COG0499.newick,4912128,8,2
./TreeLifeData/COG0500.newick,9666570009645198212682254657910465297800361314655002962485360652472691292950134908873141399782443592725983109357192823465282312507508727632813087224302351155200000,730166745731460135262101046296576,151115727451828646838272
./TreeLifeData/COG0501.newick,3539117040205824,8192,128
./TreeLifeData/COG0502.newick,691200,64,64
./TreeLifeData/COG0503.newick,9647922216960,512,128
./TreeLifeData/COG0504.newick,8843264,128,128
./TreeLifeData/COG0505.newick,4251264000,128,4
./TreeLifeData/COG0506.newick,749568,8,16
./TreeLifeData/COG0507.newick,2,2,2
./TreeLifeData/COG0508.newick,997116997119365873664,8192,256
./TreeLifeData/COG0509.newick,2448230400,1024,4
./TreeLifeData/COG0510.newick,6528,32,8
./TreeLifeData/COG0511.newick,59109376,8,4
./TreeLifeData/COG0512.newick,276,2,2
./TreeLifeData/COG0513.newick,1,1,1
./TreeLifeData/COG0514.newick,69120,512,32
./TreeLifeData/COG0516.newick,55429693440,256,16
./TreeLifeData/COG0517.newick,48,8,2
./TreeLifeData/COG0518.newick,32,16,2
./TreeLifeData/COG0519.newick,6572507136,4096,24
./TreeLifeData/COG0520.newick,27,2,1
./TreeLifeData/COG0521.newick,40301494272,1024,256
./TreeLifeData/COG0522.newick,202752,128,64
./TreeLifeData/COG0523.newick,206417756160,2048,4096
./TreeLifeData/COG0524.newick,128,4,4
./TreeLifeData/COG0525.newick,783397360512,8,2
./TreeLifeData/COG0526.newick,2,2,2
./TreeLifeData/COG0527.newick,177973670707200,64,32
./TreeLifeData/COG0528.newick,114683904,16,2
./TreeLifeData/COG0529.newick,9923036160,64,2
./TreeLifeData/COG0530.newick,1187840,128,96
./TreeLifeData/COG0531.newick,668195336665836681171357424324609741077279984844800,137438953472,16777216
./TreeLifeData/COG0532.newick,30132480,32,32
./TreeLifeData/COG0533.newick,22413312,32768,2048
./TreeLifeData/COG0534.newick,64,32,12
./TreeLifeData/COG0535.newick,38400,4,4
./TreeLifeData/COG0536.newick,16128,128,128
./TreeLifeData/COG0537.newick,4237295616,512,256
./TreeLifeData/COG0538.newick,399458304,512,32
./TreeLifeData/COG0539.newick,1664,64,16
./TreeLifeData/COG0540.newick,614203392,8192,576
./TreeLifeData/COG0541.newick,187776,32,16
./TreeLifeData/COG0542.newick,4562199473962352640,4096,32768
./TreeLifeData/COG0543.newick,288,16,2
./TreeLifeData/COG0544.newick,295680,16,8
./TreeLifeData/COG0545.newick,1,1,1
